oekobaudatProcessUuid,oekobaudatDatastockUuid,oekobaudatDatastockName,productId,tBaustoffVersion,productName,eolCategoryId,eolCategoryName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor
,,,1,2024-Q4,Acetyliertes Holz ,1,Holz - acetyliert,EV+,EV+,0.0
,,,2,2024-Q4,Aluminium Profil,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
,,,3,2024-Q4,Aluminiumblech,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
,,,4,2024-Q4,Armierung (für Kunstharzspachtel),3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
,,,101,2024-Q4,Glasfaser-Armierung,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
,,,103,2024-Q4,Glasvlies,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
,,,107,2024-Q4,Gussasphalt,4,Asphalt (Hochbau),Dep+,CL+,0.75
,,,287,2024-Q4,Splittmastixasphalt SMA,4,Asphalt (Hochbau),Dep+,CL+,0.75
,,,6,2024-Q4,Asphalttragschicht - Infrastruktur,5,Asphalt (Infrastrukturbau),RC+,CL+,0.75
,,,38,2024-Q4,Brettschichtholz Nadelholz,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,267,2024-Q4,Schnittholz Buche ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,268,2024-Q4,Schnittholz Eiche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,269,2024-Q4,Schnittholz Fichte,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,270,2024-Q4,Schnittholz Kiefer ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,271,2024-Q4,Schnittholz Lärche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,272,2024-Q4,Schnittholz Zeder ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,8,2024-Q4,Balkenschichtholz Nadelholz - beschichtet,7,"Holz - massiv, beschichtet",RC+,CL-,1.0
,,,158,2024-Q4,Konstruktionsvollholz - beschichtet,7,"Holz - massiv, beschichtet",RC+,CL-,1.0
,,,10,2024-Q4,"Betonfertigteil Decke 20cm - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,11,2024-Q4,"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,12,2024-Q4,"Betonfertigteil Wand 12cm  - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,13,2024-Q4,Beton-Mauersteine - Standard EoL,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,253,2024-Q4,Recycling Transportbeton C20/25 - exkl. Bewehrung,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,254,2024-Q4,Recycling Transportbeton C25/30 - exkl. Bewehrung,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,255,2024-Q4,Recycling Transportbeton C30/37 - exkl. Bewehrung,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,256,2024-Q4,Recycling Transportbeton C50/60  - exkl. Bewehrung,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,310,2024-Q4,Tragdeckschicht  Beton,9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,315,2024-Q4,"Transportbeton C20/25 - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,316,2024-Q4,"Transportbeton C25/30 - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,317,2024-Q4,"Transportbeton C30/37 - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,318,2024-Q4,"Transportbeton C50/60 - exkl. Bewehrung, Standard EoL",9,Beton Standard (ohne Bewehr.),RC+,RC+,1.0
,,,14,2024-Q4,Bewehrungsstahl,10,Stahl - Bewehrung,CL+,CL+,1.0
,,,15,2024-Q4,Naturbims Körnung,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,17,2024-Q4,Bimssand,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,25,2024-Q4,Blähglas Körnung,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,28,2024-Q4,Blähschiefer,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,29,2024-Q4,Blähton Körnung,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,33,2024-Q4,Blähton Sand,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,181,2024-Q4,Lava Körnung,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,228,2024-Q4,Perlite 0-1,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,229,2024-Q4,Perlite 0-3,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,329,2024-Q4,Waschbims,11,Bims / Blähschüttung,Dep+,RC+,0.75
,,,16,2024-Q4,Bims-Planstein (SFK-4),12,Leichtbeton - RC-Potenzial,SV,RC-,0.25
,,,30,2024-Q4,Blähton LB Hohlblockstein Trennwand,12,Leichtbeton - RC-Potenzial,SV,RC-,0.25
