specific_NameDe,generic_candidates_NameDe
Glasgewebetapete für Wand und Decke,Kalkfarbe
Glasgewebetapete für Wand und Decke,Innenfarbe Dispersionsfarbe scheuerfest
Glasgewebetapete für Wand und Decke,Innendispersionsfarbe scheuerfest
Glasvliestapete für Wand und Decke,Kalkfarbe
Glasvliestapete für Wand und Decke,Innenfarbe Dispersionsfarbe scheuerfest
Glasvliestapete für Wand und Decke,Innendispersionsfarbe scheuerfest
Schichtstoff Flammex,Kalkfarbe
Schichtstoff Flammex,Innenfarbe Dispersionsfarbe scheuerfest
Schichtstoff Flammex,Innendispersionsfarbe scheuerfest
Schichtstoff mit farbigem Kern,Kalkfarbe
Schichtstoff mit farbigem Kern,Innenfarbe Dispersionsfarbe scheuerfest
Schichtstoff mit farbigem Kern,Innendispersionsfarbe scheuerfest
Epoxid-Pulverlack,"Parkettlack Grundierung, Holz, wasserverdünnt"
Epoxid-Pulverlack,Lacksysteme Holzfassade deckend (Decklacksystem)
Epoxid-Pulverlack,Lösemittellack weiß
Epoxid-Pulverlack,Parkettlack transparent
Epoxid-Pulverlack,"Parkettlack (Grundierung Holz, wasserverdünnt)"
Epoxid-Pulverlack,Lacksysteme Holzfenster Grundierung weiß
Epoxid-Pulverlack,Lacksysteme Holzfenster Decklack weiß
Epoxid-Pulverlack,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß
Epoxid-Pulverlack,"Pulverlackierung (Industrie, Außenbereich, weiß)"
Epoxid-Pulverlack,Wasserlack weiß
Epoxid-Pulverlack,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem)
Beschichtungspulver IGP-DURA@xal 4201,"Parkettlack Grundierung, Holz, wasserverdünnt"
Beschichtungspulver IGP-DURA@xal 4201,Lacksysteme Holzfassade deckend (Decklacksystem)
Beschichtungspulver IGP-DURA@xal 4201,Lösemittellack weiß
Beschichtungspulver IGP-DURA@xal 4201,Parkettlack transparent
Beschichtungspulver IGP-DURA@xal 4201,"Parkettlack (Grundierung Holz, wasserverdünnt)"
Beschichtungspulver IGP-DURA@xal 4201,Lacksysteme Holzfenster Grundierung weiß
Beschichtungspulver IGP-DURA@xal 4201,Lacksysteme Holzfenster Decklack weiß
Beschichtungspulver IGP-DURA@xal 4201,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß
Beschichtungspulver IGP-DURA@xal 4201,"Pulverlackierung (Industrie, Außenbereich, weiß)"
Beschichtungspulver IGP-DURA@xal 4201,Wasserlack weiß
Beschichtungspulver IGP-DURA@xal 4201,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem)
Hybrid-Pulverlack,"Parkettlack Grundierung, Holz, wasserverdünnt"
Hybrid-Pulverlack,Lacksysteme Holzfassade deckend (Decklacksystem)
Hybrid-Pulverlack,Lösemittellack weiß
Hybrid-Pulverlack,Parkettlack transparent
Hybrid-Pulverlack,"Parkettlack (Grundierung Holz, wasserverdünnt)"
Hybrid-Pulverlack,Lacksysteme Holzfenster Grundierung weiß
Hybrid-Pulverlack,Lacksysteme Holzfenster Decklack weiß
Hybrid-Pulverlack,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß
Hybrid-Pulverlack,"Pulverlackierung (Industrie, Außenbereich, weiß)"
Hybrid-Pulverlack,Wasserlack weiß
Hybrid-Pulverlack,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem)
HIT-HY 200-A V3,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
HIT-HY 200-A V3,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HIT-HY 200-A V3,Reaktionsharz auf Methacrylatharzbasis
HIT-HY 200-A V3,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
HVU2,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
HVU2,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HVU2,Reaktionsharz auf Methacrylatharzbasis
HVU2,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
HUS4-MAX and KHC,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
HUS4-MAX and KHC,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HUS4-MAX and KHC,Reaktionsharz auf Methacrylatharzbasis
HUS4-MAX and KHC,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
HIT-MM PLUS,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
HIT-MM PLUS,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HIT-MM PLUS,Reaktionsharz auf Methacrylatharzbasis
HIT-MM PLUS,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
HIT-RE 500 V4,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
