UUID,Version,Name (de),Name (en),Kategorie (original),Kategorie (en),Konformität,Laenderkennung,Typ,Referenzjahr,Gueltig bis,URL,Declaration owner,Veroeffentlicht am,Registrierungsnummer,Registrierungsstelle,UUID des Vorgängers,Version des Vorgängers,Bezugsgroesse,Bezugseinheit,Referenzfluss-UUID,Referenzfluss-Name,Schuettdichte (kg/m3),Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Ergiebigkeit (m2),Laengengewicht (kg/m),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,biogener Kohlenstoffgehalt (Verpackung) in kg,Modul,Szenario,Szenariobeschreibung,GWP,ODP,POCP,AP,EP,ADPE,ADPF,PERE,PERM,PERT,PENRE,PENRM,PENRT,SM,RSF,NRSF,FW,HWD,NHWD,RWD,CRU,MFR,MER,EEE,EET,AP (A2),GWPtotal (A2),GWPbiogenic (A2),GWPfossil (A2),GWPluluc (A2),ETPfw (A2),PM (A2),EPmarine (A2),EPfreshwater (A2),EPterrestrial (A2),HTPc (A2),HTPnc (A2),IRP (A2),SOP (A2),ODP (A2),POCP (A2),ADPF (A2),ADPE (A2),WDP (A2),source_file,"UUID,Version,Name (de),Name (en),Kategorie (original),Kategorie (en),KonformitÃ¤t,Laenderkennung,Typ,Referenzjahr,Gueltig bis,URL,Declaration owner,Veroeffentlicht am,Registrierungsnummer,Registrierungsstelle,UUID des VorgÃ¤ngers,Version des VorgÃ¤ngers,URL des VorgÃ¤ngers,Bezugsgroesse,Bezugseinheit,Referenzfluss-UUID,Referenzfluss-Name,Schuettdichte (kg/m3),Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Ergiebigkeit (m2),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,biogener Kohlenstoffgehalt (Verpackung) in kg,Modul,Szenario,Szenariobeschreibung,GWP,ODP,POCP,AP,EP,ADPE,ADPF,PERE,PERM,PERT,PENRE,PENRM,PENRT,SM,RSF,NRSF,FW,HWD,NHWD,RWD,CRU,MFR,MER,EEE,EET,AP (A2),GWPtotal (A2),GWPbiogenic (A2),GWPfossil (A2),GWPluluc (A2),ETPfw (A2),PM (A2),EPmarine (A2),EPfreshwater (A2),EPterrestrial (A2),HTPc (A2),HTPnc (A2),IRP (A2),SOP (A2),ODP (A2),POCP (A2),ADPF (A2),ADPE (A2),WDP (A2),"
1a7c1457-bbf6-4d40-a94d-1cac4d663baa,00.04.000,Betonpflasterstein mit Edelsplittvorsatzbeton,,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',"'Mineral building products' / 'Bricks, blocks and elements' / 'Precast concrete elements and goods'",'DIN EN 15804' / 'ISO 14025',DE,specific dataset,2017,2022,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1a7c1457-bbf6-4d40-a94d-1cac4d663baa?version=00.04.000,Kronimus AG - Betonsteinwerke,,,,,,1,qm,09f351ec-8825-3121-c7d0-be97950c44a1,Betonpflasterstein 1 m² mit 12 cm Dicke,,270.0,,,,,0.0037,,,A1-A3,,,49.8,1.21e-09,0.00729,0.076,0.0104,7.45e-05,260.0,40.0,21.0,61.0,285.0,11.0,296.0,6.26,0.0,0.0,0.13,0.0256,4.74,0.0142,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
284efda1-bb16-453a-bc32-070f3bab4cb3,00.03.000,Betonpflasterstein mit schwarz-weiß meliertem Vorsatz,,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',"'Mineral building products' / 'Bricks, blocks and elements' / 'Precast concrete elements and goods'",'DIN EN 15804' / 'ISO 14025',DE,specific dataset,2017,2022,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/284efda1-bb16-453a-bc32-070f3bab4cb3?version=00.03.000,Kronimus AG - Betonsteinwerke,,,,,,1,qm,78402662-a374-f8a4-7638-4286dd3e3462,Betonpflasterstein mit schwarz-weiß meliertem Vorsatz,,135.0,,0.06,,,135.0,,,A1-A3,,,18.1,9.12e-10,0.00271,0.0295,0.00389,2.77e-05,98.4,11.9,11.5,23.4,110.3,0.7,111.0,3.68,0.0,0.0,0.07,0.0003,2.04,0.00505,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
fab730b2-0b23-4cc8-9543-39caed1db530,00.04.000,Brillux Evocryl 200,,'Beschichtungen' / 'Fassadenfarben' / 'Dispersion','Coverings' / 'Facade paint' / 'Dispersion','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/fab730b2-0b23-4cc8-9543-39caed1db530?version=00.04.000,Brillux GmbH & Co. KG,,,,,,1,kg,7a6913a6-dda6-62a4-5335-fa10ad49f399,1 kg Brillux Evocryl 200,,,1300.0,,,,1.0,,,A1-A3,,,1.61,4.44e-10,0.0011,0.0259,0.000517,2.5e-06,29.3,1.62,0.0,1.62,20.57,10.63,31.2,0.0,0.0,0.0,0.0066,0.00237,0.0358,0.000763,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
a95d0d3b-06e9-436d-a255-1f4d2dfd2077,00.03.000,Brillux Sensocryl ELF 266,,'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','Coverings' / 'Interior covering' / 'Interior paint','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a95d0d3b-06e9-436d-a255-1f4d2dfd2077?version=00.03.000,Brillux GmbH & Co. KG,,,,,,1,kg,ca7fe179-360b-1c28-8e77-625b4717c2ed,1 kg Brillux Sensocryl ELF 266,,,1400.0,,,,1.0,,,A1-A3,,,1.88,4.29e-10,0.00169,0.0426,0.000606,3.46e-06,30.6,2.03,0.0,2.03,29.79,3.61,33.4,0.0,0.0,0.0,0.0103,0.00541,0.049,0.00115,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
ea6b23bb-6df2-4692-8999-4b81d0a1990c,00.03.000,Brillux Sensocryl ELF 267,,'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','Coverings' / 'Interior covering' / 'Interior paint','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/ea6b23bb-6df2-4692-8999-4b81d0a1990c?version=00.03.000,Brillux GmbH & Co. KG,,,,,,1,kg,33fbf59a-2726-b8b2-0d9c-91a83d60b34e,1 kg Brillux Sensocryl ELF 267,,,1350.0,,,,1.0,,,A1-A3,,,2.2,5.25e-10,0.00211,0.0509,0.000691,4.08e-06,37.2,2.27,0.0,2.27,34.27,5.63,40.6,0.0,0.0,0.0,0.0132,0.00659,0.0611,0.00137,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
66dd0bed-23da-474c-abc0-96fa3c36004a,00.03.000,Brillux Sensocryl ELF 268,,'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','Coverings' / 'Interior covering' / 'Interior paint','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/66dd0bed-23da-474c-abc0-96fa3c36004a?version=00.03.000,Brillux GmbH & Co. KG,,,,,,1,kg,1acc30f4-8f97-003d-d3ea-9cc4024f500c,1 kg Brillux Sensocryl ELF 268,,,1300.0,,,,1.0,,,A1-A3,,,2.19,4.85e-10,0.00191,0.0447,0.000669,3.79e-06,38.7,2.18,0.0,2.18,35.56,6.24,41.8,0.0,0.0,0.0,0.0129,0.00637,0.0536,0.00128,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
fecc54a7-c307-47a4-9821-6d12b69ebcd7,00.03.000,Brillux Sensocryl ELF 269,,'Beschichtungen' / 'Innenbeschichtungen' / 'Innenfarben','Coverings' / 'Interior covering' / 'Interior paint','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/fecc54a7-c307-47a4-9821-6d12b69ebcd7?version=00.03.000,Brillux GmbH & Co. KG,,,,,,1,kg,44112a9e-e2ac-3d33-c01f-fc2e8f5bba98,1 kg Brillux Sensocryl ELF 269,,,1300.0,,,,1.0,,,A1-A3,,,2.07,4.53e-10,0.00193,0.0433,0.000613,3.22e-06,39.1,2.04,0.0,2.04,32.33,9.67,42.0,0.0,0.0,0.0,0.012,0.0049,0.0197,0.00117,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23,00.04.000,Eurolight beschichtet,Eurolight decor lightweight boards,'Holz' / 'Holzwerkstoffe' / 'Spanplatten','Wood' / 'Derived timber products' / 'Particle boards','DIN EN 15804' / 'ISO 14025',EU-27,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8ac8faaf-ca43-4d5c-80e6-2e45fb456d23?version=00.04.000,Fritz EGGER GmbH & Co. OG Holzwerkstoffe,,,,,,1,qm,ae21ded8-3ae8-5cac-4445-700acd6daa0c,1 m² beschichtete Leichtbauplatte,,,254.0,,,,0.081,,,A1-A3,,,-7.85918105862907,2.743311e-10,0.0066022062656959,0.0276847425028915,0.0073351236014883,7.265071481e-06,172.421473633751,49.0862087814595,187.623039052182,236.709247833641,148.811281359665,30.749856334776,179.561137694441,0.383,0.0,0.0,0.0396959581054398,0.0001797602783815,0.0627962223807597,0.0028297711729264,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
acc44187-3de9-462d-b332-4b1806e5897c,00.04.000,Eurolight roh,Eurolight raw lightweight boards,'Holz' / 'Holzwerkstoffe' / 'Spanplatten','Wood' / 'Derived timber products' / 'Particle boards','DIN EN 15804' / 'ISO 14025',EU-27,specific dataset,2015,2020,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/acc44187-3de9-462d-b332-4b1806e5897c?version=00.04.000,Fritz EGGER GmbH & Co. OG Holzwerkstoffe,,,,,,1,qm,2fd5620b-a381-74b7-aa50-c6154e638f6f,1 m² rohe Eurolight-Platte,,,254.0,,,,0.083,,,A1-A3,,,-9.85284040642099,2.348184e-10,0.005678477781501,0.0237352756611908,0.0063469741783734,6.6779696447e-06,144.32340100292,45.4662448217952,184.849703011029,230.315947832824,123.77200275536,26.667189328431,150.439192083791,0.326,0.0,0.0,0.0322789566050051,0.0001625976537228,0.049106704641459,0.002423947539897,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
d6eaa532-5b85-449b-9fbf-1357a52c4bd9,00.04.000,"EVALON®dual, mechanisch befestigt oder lose unter Auflast",,'Kunststoffe' / 'Dachbahnen' / 'EVA-Dachbahnen (Etylen-Vinylacetat)','Plastics' / 'Roofing membranes' / 'EVA sheet (Ehylene Vinyl Acetate)','DIN EN 15804' / 'ISO 14025',DE,specific dataset,2016,2021,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d6eaa532-5b85-449b-9fbf-1357a52c4bd9?version=00.04.000,alwitra,,,,,,1,qm,862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b,1m² Dach- und Dichtungsbahn EVALON® dual,,1.9,1.333,,,,0.526,,,A1-A3,,,6.44,1.07e-09,0.00756,0.0186,0.00295,4.38e-05,138.0,18.1,0.0,18.1,96.0,53.0,149.0,0.0,0.0,0.0,0.0894,0.00183,0.513,0.00429,,,,,,,,,,,,,,,,,,,,,,,,,OBD_2020_II.csv,
