Specific_UUID,Generic_UUID,Specific_Name,Generic_Name,Final_Score
c93da4c3-94c9-4c86-b092-610cf1cf012f,52ac8701-d612-4cc9-8037-b2dc2a293a8c,FOAMGLAS® T4+,Polyethylene foam,0.735
c93da4c3-94c9-4c86-b092-610cf1cf012f,fa802cb7-a64d-48b3-b928-0f9976420d37,FOAMGLAS® T4+,Polyethylene foam,0.735
c93da4c3-94c9-4c86-b092-610cf1cf012f,7091503e-34e5-44cd-9acb-7c2f16f6097f,FOAMGLAS® T4+,Foam glass insulation material,0.708
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,52ac8701-d612-4cc9-8037-b2dc2a293a8c,FOAMGLAS® T3+,Polyethylene foam,0.733
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,fa802cb7-a64d-48b3-b928-0f9976420d37,FOAMGLAS® T3+,Polyethylene foam,0.733
f8ff7cbf-f3bb-4499-95e2-8268dd84fab1,7091503e-34e5-44cd-9acb-7c2f16f6097f,FOAMGLAS® T3+,Foam glass insulation material,0.725
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,52ac8701-d612-4cc9-8037-b2dc2a293a8c,FOAMGLAS® F,Polyethylene foam,0.758
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,fa802cb7-a64d-48b3-b928-0f9976420d37,FOAMGLAS® F,Polyethylene foam,0.758
f27b04a9-2fa2-4ac2-8c5f-03addd0a643a,7091503e-34e5-44cd-9acb-7c2f16f6097f,FOAMGLAS® F,Foam glass insulation material,0.727
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,7091503e-34e5-44cd-9acb-7c2f16f6097f,FOAMGLAS® S3,Foam glass insulation material,0.712
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,52ac8701-d612-4cc9-8037-b2dc2a293a8c,FOAMGLAS® S3,Polyethylene foam,0.711
f0b20a40-b4cb-4c34-9f2e-145e3d9af024,fa802cb7-a64d-48b3-b928-0f9976420d37,FOAMGLAS® S3,Polyethylene foam,0.711
1f7d7833-7309-4387-9609-8be234332f68,23b67663-f4b0-445e-bbba-b741a59d57e6,Duripanel A2,Bitumen sheets V 60,0.55
1f7d7833-7309-4387-9609-8be234332f68,da3f32e3-7b0d-44f2-ba03-8dd93aa94f75,Duripanel A2,Bitumen sheets V 60,0.55
1f7d7833-7309-4387-9609-8be234332f68,ed391263-0e6d-43dd-ad3e-43607545f281,Duripanel A2,Linoleum,0.536
9591148a-69d2-4824-9935-f258913f531e,23b67663-f4b0-445e-bbba-b741a59d57e6,Duripanel B1,Bitumen sheets V 60,0.523
9591148a-69d2-4824-9935-f258913f531e,da3f32e3-7b0d-44f2-ba03-8dd93aa94f75,Duripanel B1,Bitumen sheets V 60,0.523
9591148a-69d2-4824-9935-f258913f531e,5f0bc680-a252-46d6-a47a-a4b5a05318bc,Duripanel B1,"PE foil, dimpled",0.516
5a580331-75c4-43c8-b732-19fc1cc8e97a,0f2f2410-d9e2-4e0f-837a-987cb3186d81,EGGER DHF,Chipboard (generic),0.546
5a580331-75c4-43c8-b732-19fc1cc8e97a,07a8b3de-9406-4184-bb6e-c9208983c868,EGGER DHF,Chipboard (generic),0.546
5a580331-75c4-43c8-b732-19fc1cc8e97a,24b673e5-b737-4fe9-ab51-ca68391ccdd3,EGGER DHF,Plywood board (generic),0.539
906a624c-2360-4a27-8493-c10fe7d398b2,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K15,Linoleum,0.532
906a624c-2360-4a27-8493-c10fe7d398b2,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K15,Linoleum,0.532
906a624c-2360-4a27-8493-c10fe7d398b2,25db4367-38c5-4483-b392-4fc071170e5e,Kooltherm® K15,Bitumen sheets PYE-PV 200 S5 ns (slated),0.531
d07a1fef-6a6c-405c-84bc-ab82634f9490,25db4367-38c5-4483-b392-4fc071170e5e,Kooltherm® K20,Bitumen sheets PYE-PV 200 S5 ns (slated),0.537
d07a1fef-6a6c-405c-84bc-ab82634f9490,547d0037-2ebd-40ef-b2a5-1d742afc2851,Kooltherm® K20,Bitumen sheets PYE-PV 200 S5 ns (slated),0.537
d07a1fef-6a6c-405c-84bc-ab82634f9490,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K20,Linoleum,0.532
7874a8f3-108e-4c82-824d-5a4d51dfd4b8,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K10,Linoleum,0.528
7874a8f3-108e-4c82-824d-5a4d51dfd4b8,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K10,Linoleum,0.528
7874a8f3-108e-4c82-824d-5a4d51dfd4b8,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K10,Kraft paper,0.518
6136bc06-715a-4ec8-b198-335771bc752f,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K12,Linoleum,0.541
6136bc06-715a-4ec8-b198-335771bc752f,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K12,Linoleum,0.541
6136bc06-715a-4ec8-b198-335771bc752f,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K12,Kraft paper,0.533
412ad711-7828-47f0-99fb-70f42cda755c,25db4367-38c5-4483-b392-4fc071170e5e,Kooltherm® K17,Bitumen sheets PYE-PV 200 S5 ns (slated),0.525
412ad711-7828-47f0-99fb-70f42cda755c,547d0037-2ebd-40ef-b2a5-1d742afc2851,Kooltherm® K17,Bitumen sheets PYE-PV 200 S5 ns (slated),0.525
412ad711-7828-47f0-99fb-70f42cda755c,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K17,Linoleum,0.518
5aaa49cc-c5ee-4664-8a1d-6f6dbee613b1,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K3,Linoleum,0.543
5aaa49cc-c5ee-4664-8a1d-6f6dbee613b1,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K3,Linoleum,0.543
5aaa49cc-c5ee-4664-8a1d-6f6dbee613b1,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K3,Kraft paper,0.518
7726d871-0497-4460-8c87-7dcbc0a01820,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K8 Plus,Linoleum,0.522
7726d871-0497-4460-8c87-7dcbc0a01820,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K8 Plus,Linoleum,0.522
7726d871-0497-4460-8c87-7dcbc0a01820,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K8 Plus,Kraft paper,0.515
2a7b2942-ff5d-4dca-8365-d4ffc28d013d,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K15 C,Linoleum,0.541
2a7b2942-ff5d-4dca-8365-d4ffc28d013d,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K15 C,Linoleum,0.541
2a7b2942-ff5d-4dca-8365-d4ffc28d013d,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K15 C,Kraft paper,0.538
41346ec4-a2fa-454b-9c78-a0267326ccfa,ed391263-0e6d-43dd-ad3e-43607545f281,Kooltherm® K8,Linoleum,0.546
41346ec4-a2fa-454b-9c78-a0267326ccfa,c3d7aef9-38a6-4d2a-a77f-2eee25461482,Kooltherm® K8,Linoleum,0.546
41346ec4-a2fa-454b-9c78-a0267326ccfa,94c64884-f86e-44b1-9e55-8570cce6f43d,Kooltherm® K8,Kraft paper,0.53
770c6ffb-fbdf-4c61-810b-20bcf2f8fbd6,b4634111-dc95-4873-8614-9ab38bd11d42,TPO/FPO Dach-und Dichtungsbahn,Underroof membrane PP,0.527
770c6ffb-fbdf-4c61-810b-20bcf2f8fbd6,9c355da1-8e97-448e-b66b-10e04316bf20,TPO/FPO Dach-und Dichtungsbahn,Underroof membrane PP,0.527
770c6ffb-fbdf-4c61-810b-20bcf2f8fbd6,23b67663-f4b0-445e-bbba-b741a59d57e6,TPO/FPO Dach-und Dichtungsbahn,Bitumen sheets V 60,0.517
9e1a22fd-86f4-4497-a4db-8332cfdbcf62,4a64b834-1c75-40e8-a7c9-cc1fff34a915,PIPELANE pipe sections +A2,Polybutadiene pipe,0.654
9e1a22fd-86f4-4497-a4db-8332cfdbcf62,5a9bb863-f67d-4b2c-b34f-3eb8ed1c8b42,PIPELANE pipe sections +A2,Polybutadiene pipe,0.654
9e1a22fd-86f4-4497-a4db-8332cfdbcf62,cf3d6ac9-0308-452a-8db1-11f60cf2af52,PIPELANE pipe sections +A2,"Concrete pipe, reinforced",0.64
006c17a5-bfbd-4786-8c96-7546e5317f9c,7091503e-34e5-44cd-9acb-7c2f16f6097f,"SAGLAN glass wool, bonded with bio-based adhesive +A2",Foam glass insulation material,0.661
006c17a5-bfbd-4786-8c96-7546e5317f9c,5383d573-9730-4786-9fe5-15d5fab0ec5c,"SAGLAN glass wool, bonded with bio-based adhesive +A2",Melamin resin foam,0.625
006c17a5-bfbd-4786-8c96-7546e5317f9c,cc54d8cb-f26c-41ea-a152-8b28f7fb5b1d,"SAGLAN glass wool, bonded with bio-based adhesive +A2",Melamin resin foam,0.625
cda95e98-8877-4602-b8af-b46060d16efa,45e6dcac-70b9-4982-bf04-4ff566facba1,PROMATECT®-LS,"Precast concrete slab, ceiling, thickness 20cm",0.493
cda95e98-8877-4602-b8af-b46060d16efa,6575f9dd-8a50-440c-90df-30608167c739,PROMATECT®-LS,"Precast concrete slab, ceiling, thickness 20cm",0.493
cda95e98-8877-4602-b8af-b46060d16efa,df5cbb1e-3b07-421b-b7fd-27aa2c38d8b8,PROMATECT®-LS,Roller shutter,0.48
55b8a86c-fde6-4245-9280-fbbfe19a1586,4160dc95-17a6-49c0-9a56-66d062c5c632,designed acoustic ceiling 24 mm,Mineral fibre ceiling board (15 mm),0.623
55b8a86c-fde6-4245-9280-fbbfe19a1586,3175cb36-065b-4bc7-9c7e-dd256bba5e8f,designed acoustic ceiling 24 mm,Mineral fibre ceiling board (15 mm),0.623
55b8a86c-fde6-4245-9280-fbbfe19a1586,45e6dcac-70b9-4982-bf04-4ff566facba1,designed acoustic ceiling 24 mm,"Precast concrete slab, ceiling, thickness 20cm",0.595
2a546096-494e-495b-947f-a29ad6405ff9,27ccffb8-02ec-466d-b925-f6db91d4ef71,Sikaplan G,Bitumen sheets G 200 S4,0.572
2a546096-494e-495b-947f-a29ad6405ff9,bdf0a7e9-3fae-4780-b5ca-3d686c6d46d0,Sikaplan G,Bitumen sheets G 200 S4,0.572
2a546096-494e-495b-947f-a29ad6405ff9,ab14e105-1768-4cd7-bcd2-3436c16fad16,Sikaplan G,PVC roofing membrane,0.54
3e2fcd24-d690-458a-b9e0-c5577f303e47,ab14e105-1768-4cd7-bcd2-3436c16fad16,Sikaplan SGmA,PVC roofing membrane,0.558
3e2fcd24-d690-458a-b9e0-c5577f303e47,57bb6738-f9d8-4c59-b00a-00a217e9feba,Sikaplan SGmA,PVC roofing membrane,0.558
3e2fcd24-d690-458a-b9e0-c5577f303e47,25db4367-38c5-4483-b392-4fc071170e5e,Sikaplan SGmA,Bitumen sheets PYE-PV 200 S5 ns (slated),0.55
