UUID,Version,Name (de),Name (en),Kategorie (original),Kategorie (en),Konformität,Laenderkennung,Typ,Referenzjahr,Gueltig bis,URL,Declaration owner,Veroeffentlicht am,Registrierungsnummer,Registrierungsstelle,UUID des Vorgängers,Version des Vorgängers,Bezugsgroesse,Bezugseinheit,Referenzfluss-UUID,Referenzfluss-Name,Schuettdichte (kg/m3),Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Ergiebigkeit (m2),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,biogener Kohlenstoffgehalt (Verpackung) in kg,Modul,Szenario,Szenariobeschreibung,GWP,ODP,POCP,AP,EP,ADPE,ADPF,PERE,PERM,PERT,PENRE,PENRM,PENRT,SM,RSF,NRSF,FW,HWD,NHWD,RWD,CRU,MFR,MER,EEE,EET,AP (A2),GWPtotal (A2),GWPbiogenic (A2),GWPfossil (A2),GWPluluc (A2),ETPfw (A2),PM (A2),EPmarine (A2),EPfreshwater (A2),EPterrestrial (A2),HTPc (A2),HTPnc (A2),IRP (A2),SOP (A2),ODP (A2),POCP (A2),ADPF (A2),ADPE (A2),WDP (A2)
1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,00.00.023,,eLCA Luftschicht (gemäß EN 15804+A2),'Sonstige' / 'eLCA Intern' / 'eLCA Intern','Others' / '9.99 (missing translation)' / '9.99.01 (missing translation)','EN 15804+A2',,generic dataset,,,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7?version=00.00.023,"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) im Bundesamt für Bauwesen und Raumordnung (BBR)",,,,41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,00.00.017,1,m3,99d9eea1-583c-467b-9210-5e808a78586e,eLCA Luftschicht,,,1.2041,,,,,,0.0,0.0,A1-A3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c282671d-c54b-4173-94a7-75a8c7a4b0ec,20.24.070,PKW (Benzin) EURO 4,Car (Gasoline) EURO 4,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW','Others' / 'Passenger transport [person km]' / 'Passenger car','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c282671d-c54b-4173-94a7-75a8c7a4b0ec?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,6e406918-b951-427c-b2fc-c3d1d018db9a,,1000,m,0e8dfe31-1fc9-4c42-8849-cd2b9852a2c1,Fahrzeugkilometer,,,,,,,,,,,A4,,,,,,,,,,0.0309606762937487,0.0,0.0309606762937487,3.30371143915238,0.0,3.30371143915238,0.0,0.0,0.0,2.33948928008e-05,1.499475e-10,0.0004031438319779,3.5586092194e-06,0.0,0.0,0.0,0.0,0.0,0.0003482759876632,0.257022224977451,0.0092198540204982,0.247790987166187,1.13837907659e-05,,,7.16997521426e-05,1.286800455e-07,0.0013043689443638,,,,,5.24e-14,0.0002770539497196,3.30368897835295,7.5612675e-09,0.0004165035633979
0ab073cb-428a-430b-b51b-96555d7f0ec8,20.24.070,PKW (Benzin) EURO 3,Car (Gasoline) EURO 3,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW','Others' / 'Passenger transport [person km]' / 'Passenger car','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0ab073cb-428a-430b-b51b-96555d7f0ec8?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,347376a6-5dcb-4110-b21c-c3e32d207a93,,1000,m,0e8dfe31-1fc9-4c42-8849-cd2b9852a2c1,Fahrzeugkilometer,,,,,,,,,,,A4,,,,,,,,,,0.0313418402373611,0.0,0.0313418402373611,3.34438418379003,0.0,3.34438418379003,0.0,0.0,0.0,2.36829126591e-05,1.517935e-10,0.0004081070275936,3.6024200687e-06,0.0,0.0,0.0,0.0,0.0,0.0003475833544509,0.260261124113347,0.0093333615337538,0.250916238640384,1.1523939209e-05,,,7.07350884655e-05,1.302642548e-07,0.0012937708545656,,,,,5.31e-14,0.0003135168304464,3.34436144647058,7.654356e-09,0.0004216312337126
176bed2a-6b84-433f-bc12-05e691955d98,20.24.070,PKW (Diesel) EURO 4,Car (Diesel) EURO 4,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW','Others' / 'Passenger transport [person km]' / 'Passenger car','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/176bed2a-6b84-433f-bc12-05e691955d98?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,e0bc97e8-149b-4706-a55a-53c566b153ea,,1000,m,0e8dfe31-1fc9-4c42-8849-cd2b9852a2c1,Fahrzeugkilometer,,,,,,,,,,,A4,,,,,,,,,,0.329675150442597,0.0,0.329675150442597,3.03772992982276,0.0,3.03772992982276,0.0,0.0,0.0,0.0003134562188088,1.293838e-10,0.00050300546106,4.1012979105e-06,0.0,0.0,0.0,0.0,0.0,0.0012142201649827,0.236428300264404,-0.0062606822915593,0.238206458801963,0.0044825237539998,,,0.0005900858285682,6.285227932e-07,0.0065760073048039,,,,,5.44e-14,0.0012509328529072,3.03767732666299,3.94482497e-08,0.0016456460740396
fb6cffe8-ac3e-49a6-ab80-eb6e7968293e,20.24.070,PKW (Diesel) EURO 3,Car (Diesel) EURO 3,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW','Others' / 'Passenger transport [person km]' / 'Passenger car','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/fb6cffe8-ac3e-49a6-ab80-eb6e7968293e?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,a1b29d43-e849-4c58-ade6-c71005f498c5,,1000,m,0e8dfe31-1fc9-4c42-8849-cd2b9852a2c1,Fahrzeugkilometer,,,,,,,,,,,A4,,,,,,,,,,0.328877667795481,0.0,0.328877667795481,3.03038167532919,0.0,3.03038167532919,0.0,0.0,0.0,0.0003126979696815,1.290708e-10,0.0005017886932021,4.09137689e-06,0.0,0.0,0.0,0.0,0.0,0.0014278047897635,0.235880741222395,-0.0062455373173532,0.237654597989745,0.0044716805500024,,,0.0007023762389787,6.270023995e-07,0.0078065489579568,,,,,5.43e-14,0.0014420989015894,3.03032919941622,3.93528246e-08,0.0016416652638828
c1bfdecc-e167-4c3a-8792-5dc06b97b4b8,20.24.070,Containerschiff,Container ship,'Sonstige' / 'Güter - Transporte[t km]' / 'Seeschiff','Others' / 'Transport of goods [t km]' / 'Ocean transport','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c1bfdecc-e167-4c3a-8792-5dc06b97b4b8?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,62d19bf5-ef5c-4468-b533-e42959fda0f0,,1000,t*km,f5458338-7c8d-4b77-815b-ef2a2df69ee8,Transportleistung,,,,,,,,,,,A4,,,,,,,,,,0.0009344058420266,0.0,0.0009344058420266,0.133852804809544,0.0,0.133852804809544,0.0,0.0,0.0,6.782306783e-07,5.531e-12,1.58705573713e-05,1.262679495e-07,0.0,0.0,0.0,0.0,0.0,0.0002149882254046,0.0115363442964597,1.17845715873e-05,0.0115241163736633,4.433512091e-07,,,9.0958467733e-05,2.721012e-09,0.0009961065052838,,,,,1.7e-15,0.0002491397166272,0.13385190848678,3.013333e-10,1.2403902245e-05
32c020ee-4c79-4fe1-9550-02813e06c7f0,20.24.070,Massengutfrachter Hochsee,Bulk carrier ocean,'Sonstige' / 'Güter - Transporte[t km]' / 'Seeschiff','Others' / 'Transport of goods [t km]' / 'Ocean transport','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/32c020ee-4c79-4fe1-9550-02813e06c7f0?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,d63a6548-9d5e-46ff-a141-baf9c2fb6485,,1000,t*km,f5458338-7c8d-4b77-815b-ef2a2df69ee8,Transportleistung,,,,,,,,,,,A4,,,,,,,,,,0.0004369873661349,0.0,0.0004369873661349,0.0625980510745052,0.0,0.0625980510745052,0.0,0.0,0.0,3.171836309e-07,2.5866e-12,7.4220780231e-06,5.90508922e-08,0.0,0.0,0.0,0.0,0.0,0.0001005421136557,0.0053951254178826,5.5112122242e-06,0.0053894068665468,2.073391115e-07,,,4.25379417107e-05,1.2725176e-09,0.0004658425049973,,,,,7e-16,0.0001165135144408,0.0625976318971984,1.409225e-10,5.8008504742e-06
98c8fe23-fdd3-4d85-b9d6-b04a037eb056,20.24.070,Massengutfrachter Küste,Bulk carrier coast,'Sonstige' / 'Güter - Transporte[t km]' / 'Seeschiff','Others' / 'Transport of goods [t km]' / 'Ocean transport','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/98c8fe23-fdd3-4d85-b9d6-b04a037eb056?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,6f679e2e-b3be-4c2a-95dd-a3a940e62600,,1000,t*km,f5458338-7c8d-4b77-815b-ef2a2df69ee8,Transportleistung,,,,,,,,,,,A4,,,,,,,,,,0.0018586168769946,0.0,0.0018586168769946,0.257901338230181,0.0,0.257901338230181,0.0,0.0,0.0,1.296298465e-06,1.0798e-11,3.05813792987e-05,2.487405668e-07,0.0,0.0,0.0,0.0,0.0,0.0003565938747077,0.0197632719075858,2.27256642737e-05,0.0197396920994851,8.541438269e-07,,,0.000181275180987,4.5124615e-09,0.0019851615229172,,,,,3.4e-15,0.0004880121395247,0.257899610473261,5.817906e-10,2.27905344087e-05
5b617407-2029-4b47-84d0-2caf10937b1d,20.24.070,Binnenschiff (Berg-Tal Durchschnitt),Barge (average),'Sonstige' / 'Güter - Transporte[t km]' / 'Binnenschiff','Others' / 'Transport of goods [t km]' / 'Inland water transport','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5b617407-2029-4b47-84d0-2caf10937b1d?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,c6b3ec4c-8091-4ad7-9d0d-5f12941c2ac3,,1000,t*km,f5458338-7c8d-4b77-815b-ef2a2df69ee8,Transportleistung,,,,,,,,,,,A4,,,,,,,,,,0.021797011290663,0.0,0.021797011290663,0.25782872870018,0.0,0.25782872870018,0.0,0.0,0.0,2.44778734037e-05,8.3413e-12,4.01001673749e-05,3.332398974e-07,0.0,0.0,0.0,0.0,0.0,0.0001851626800617,0.020143783594011,-0.0004431037875753,0.0202549692457393,0.0003319181358471,,,9.33117900873e-05,8.43112454e-08,0.0010283035838738,,,,,1.9e-15,0.0002731207246405,0.257823424041737,1.6705444e-09,0.0002941738694933
b04a12ef-0842-4ee9-b411-02d8073f0f96,20.24.070,Bahntransport,Rail transport,'Sonstige' / 'Güter - Transporte[t km]' / 'Bahn','Others' / 'Transport of goods [t km]' / 'Train','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023,2026,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b04a12ef-0842-4ee9-b411-02d8073f0f96?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,dbd05a45-6ed0-4e8e-9679-434746979544,,1000,t*km,f5458338-7c8d-4b77-815b-ef2a2df69ee8,Transportleistung,,,,,,,,,,,A4,,,,,,,,,,0.229140194973302,0.0,0.229140194973302,0.198381377314964,0.0,0.198381377314964,0.0,0.0,0.0,6.93465972884e-05,4.843529e-10,0.0002152483924495,1.23923868687e-05,0.0,0.0,0.0,0.0,0.0,2.59756258475e-05,0.0169512845053523,0.0001816128981314,0.0167664661958008,3.20541142e-06,,,7.8757406781e-06,9.02103289e-08,8.15296447481e-05,,,,,5.652e-13,1.92050565321e-05,0.198377584760221,3.0197882e-09,0.000470115175011
