Specific UUID,Specific Name,Specific Category,TBS Version,Generic UUID,Generic Name,Generic Category,Generic Version,OBD Year,Name Score,Category Score,Final Score
,Asphalttragschicht - Hochbau,Asphalt (Hochbau),2024-Q4,b3d43cd9-ff27-43f4-8123-b206aa41d5a8,Kielsteg Elemente aus Holz mit innerem Fachwerk PLY 158 kg/m³,'Holz' / 'Holzwerkstoffe' / 'Elemente aus Holzwerkstoffen',00.00.033,2024,0.869700014591217,0.5220999717712402,0.7828
,"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen","Holz - massiv, naturbelassen",2024-Q4,f721d148-f727-4a55-b2e6-52ecb90e09be,Mineralwolle-Dämmstoff im niedrigen Rohdichtebereich,'Dämmstoffe' / 'Mineralwolle' / 'Mineralwolle',00.09.000,2024,0.8562999963760376,0.5968000292778015,0.7914
,Brettsperrholz,"Holz - massiv, naturbelassen",2024-Q4,699e3d57-72b4-402d-a0ee-cebb06f3cdf1,Mineralwolle-Dämmstoff im mittleren Rohdichtebereich,'Dämmstoffe' / 'Mineralwolle' / 'Mineralwolle',00.08.000,2024,0.871399998664856,0.5968000292778015,0.8028
,Konstruktionsvollholz - naturbelassen,"Holz - massiv, naturbelassen",2024-Q4,34e9bbb7-a3c6-42fb-9b3d-0341e79def17,blaugelb Dämmplatten EPS,'Dämmstoffe' / 'Expandiertes Polystyrol (EPS)' / 'EPS grau',00.10.000,2024,0.6470999717712402,0.4293000102043152,0.5927
,Beton - Carbonfasern / Textilbeton ,Beton - Carbonfasern ,2024-Q4,8526239b-fa75-4b15-b4d5-790f1a15bba6,Tür - Hörmann KG Eckelhausen - Rauchschutztür,'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium',00.00.009,2023,0.6570000052452087,0.4821000099182129,0.6133
,Bitumenbahnen mit Alu oder Kupfer,"Bitubahn mit Metallverbund (Alu-, Cu-,..)",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,Polymer-Bitumenabdichtungsbahn,Bitubahn (ggf. mit Glasvlies),2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,Elastomer-Dachbahnen,KSTBahn,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,PIB-Dachbahnen (Polyisobutylen),KSTBahn,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,PP-/PE Folie,KSTBahn,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,Blähglasgranulatplatte,Leichtbeton - best case,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,Blähperlit-Platten,Mineralplatte,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,DFF: Alu-Kunststoff-Komposit [kg/m² Rahmen],PVC hart,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,DFF: Kunststoffrahmen PVC  [kg/m² Rahmen],PVC hart,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],PVC hart,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen],"Holz-Alu-Rahmen, Regelvermutung HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ","Holz-Alu-Rahmen, Regelvermutung HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ","Holz-Alu-Rahmen, Regelvermutung HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ","Holz-Alu-Rahmen, Regelvermutung HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen] ohne HSM,"Holz-Alu-Rahmen, Nachweis kein HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"DFF: Holzrahmen Fichte, beschichtet [kg/m² Rahmen]",Holzrahmen,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
,"DFF: Holzrahmen Lärche, beschichtet [kg/m² Rahmen]",Holzrahmen,2024-Q4,7e88f530-2367-463a-a7fd-b87c19b0884e,Initiative Ziegel Österreich - Tondachziegel,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachziegel',00.00.015,2024,0.0,0.0,0.0
