unmapped_generic_UUID,unmapped_generic_name,tbs_product_UUID,tbs_product_name,Name_Similarity,unmapped_generic_category,tbs_category_name,Category_Similarity,tbs_EOL_Scenario_Unbuilt_Real,tbs_EOL_Scenario_Unbuilt_Potential,tbs_EOL_Scenario_Technology_Factor,Final_Score
fa5119d5-b0b8-4774-9c23-928f6894bd50,Strom für Gebäudebetrieb 2018,a255934e-5461-4501-9acf-20ad1b51b044,Stahl Schmiedebauteil,0.581,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"Stahl - Baustahl (zB Stahlträger,..)",0.29,CL+,CL+,1.0,0.465
fa5119d5-b0b8-4774-9c23-928f6894bd50,Strom für Gebäudebetrieb 2018,76d3f78a-8743-49fe-b4a1-f43b819cb930,Holzwolle-Leichtbauplatte,0.532,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',Holzzement,0.353,Dep-,SV,0.25,0.46
fa5119d5-b0b8-4774-9c23-928f6894bd50,Strom für Gebäudebetrieb 2018,,Lehmbauplatte,0.484,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',Lehmbauplatte,0.394,SV,CL+,0.75,0.448
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d,Betonfertigteil Decke 40cm,9357b7fc-cf0a-45fc-8299-e794e3889a40,"Betonfertigteil Decke 20cm - exkl. Bewehrung, Standard EoL",0.769,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Beton Standard (ohne Bewehr.),0.302,RC+,RC+,1.0,0.582
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d,Betonfertigteil Decke 40cm,ab0a0f3c-41f6-4b0a-a12c-f8bd0c8a4a23,"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL",0.583,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Beton Standard (ohne Bewehr.),0.302,RC+,RC+,1.0,0.471
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d,Betonfertigteil Decke 40cm,37532578-b1c0-4ed6-b209-5b4cb1b15729,Schaumbeton Dämmplatten,0.421,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Mineralplatte,0.508,Dep+,SV,0.75,0.456
3470c523-ffcd-48df-93ff-dedfde86572a,Betonfertigteil Wand 40cm,b342696e-2ebb-4fe1-a71d-f3520db0cee9,"Betonfertigteil Wand 12cm  - exkl. Bewehrung, Standard EoL",0.728,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Beton Standard (ohne Bewehr.),0.302,RC+,RC+,1.0,0.557
3470c523-ffcd-48df-93ff-dedfde86572a,Betonfertigteil Wand 40cm,ab0a0f3c-41f6-4b0a-a12c-f8bd0c8a4a23,"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL",0.525,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Beton Standard (ohne Bewehr.),0.302,RC+,RC+,1.0,0.436
3470c523-ffcd-48df-93ff-dedfde86572a,Betonfertigteil Wand 40cm,37532578-b1c0-4ed6-b209-5b4cb1b15729,Schaumbeton Dämmplatten,0.365,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren',Mineralplatte,0.508,Dep+,SV,0.75,0.422
ffff2074-fae0-4b5c-b801-af80f5ce633a,Kabel CAT 7,07f3cd13-22bb-494d-803a-f0a440fbce7a,Kalk-Innenputz,0.358,'Gebäudetechnik' / 'Elektro' / 'Kabel',"mineral. Putz, Mörtel, Kleber",0.358,Dep+,Dep+,0.0,0.358
ffff2074-fae0-4b5c-b801-af80f5ce633a,Kabel CAT 7,d311ba82-a703-4865-b5e3-f704e5b88712,Fassadenklinker,0.301,'Gebäudetechnik' / 'Elektro' / 'Kabel',Keramik - Fassade,0.438,RC+,RC+,1.0,0.356
ffff2074-fae0-4b5c-b801-af80f5ce633a,Kabel CAT 7,3ce61a4e-4d91-4b1d-b675-276be05b9225,Kies 2/32,0.395,'Gebäudetechnik' / 'Elektro' / 'Kabel',Kies / Schotter / Splitt,0.292,CL+,CL+,1.0,0.354
